ID: 2971065986396947352, Name: CCTV-3, url: http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 360 ms, Speed: 4.80 M/s, Resolution: 1280x720, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -8581493585360019880, Name: 广东卫视, url: http://120.76.248.139/live/bfgd/4200000092.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云BGP数据中心, Delay: 4756 ms, Speed: 1.42 M/s, Resolution: 1920x1080, FPS: 50.0, Video Codec: h264, Audio Codec: ac3
ID: 4660497754948442741, Name: 广东卫视, url: http://183.215.134.239:19901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0, From: Subscribe, IPv Type: ipv4, Location: 中国-湖南-长沙, ISP: 移动, Delay: 6981 ms, Speed: 0.53 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 2179236072791610812, Name: 广东卫视, url: http://154.219.125.138:5050/ysp?id=2024060903&pid=600002485&q=fhd, From: Subscribe, IPv Type: ipv4, Location: 中国-香港, ISP: LARUS, Delay: 130 ms, Speed: 8.77 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 5304455074778674603, Name: 广东卫视, url: http://222.169.85.8:9901/tsfile/live/0125_1.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-吉林-辽源, ISP: 电信, Delay: 9930 ms, Speed: 0.62 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 6114073642695032750, Name: 浙江卫视, url: https://play-qukan.cztv.com/live/1746687519046362.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国, ISP: 阿里云, Delay: 3348 ms, Speed: 1.15 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 7282742756926820666, Name: 浙江卫视, url: http://38.75.136.137:98/gslb/dsdqpub/zjwshd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 392 ms, Speed: 8.39 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 6401260018253032238, Name: 浙江卫视, url: http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国, ISP: 阿里云, Delay: 2603 ms, Speed: 1.40 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -6212678880428713105, Name: 浙江卫视, url: http://ali-xwl.cztv.com/live/channel01720Plxw.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国, ISP: 阿里云, Delay: 2284 ms, Speed: 0.54 M/s, Resolution: 1280x720, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 2573175862955238738, Name: 浙江卫视, url: http://120.76.248.139/live/bfgd/4200000094.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云BGP数据中心, Delay: 3032 ms, Speed: 2.06 M/s, Resolution: 1920x1080, FPS: 50.0, Video Codec: h264, Audio Codec: ac3
ID: -7987199898816596429, Name: 浙江卫视, url: http://183.215.134.239:19901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0, From: Subscribe, IPv Type: ipv4, Location: 中国-湖南-长沙, ISP: 移动, Delay: 5441 ms, Speed: 0.64 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 3574897182573921334, Name: 湖南卫视, url: http://69.30.246.194/live/hnws.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: WholeSale互联网股份有限公司, Delay: 1082 ms, Speed: 1.04 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 8761708918609161669, Name: 湖南卫视, url: http://74.91.26.218:82/live/hnwshd.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国, ISP: , Delay: 396 ms, Speed: 8.26 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 7667693235413658925, Name: 湖南卫视, url: http://107.150.60.122/live/hnwshd.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Delay: 391 ms, Speed: 8.43 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -5826987898080536596, Name: 湖南卫视, url: http://38.75.136.137:98/gslb/dsdqpub/hnwshd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 400 ms, Speed: 8.21 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 7130603455533188166, Name: 湖南卫视, url: https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8, From: Subscribe, IPv Type: ipv4, Location: 日本, ISP: , Delay: 535 ms, Speed: 8.49 M/s, Resolution: 1280x720, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 6037186625138078657, Name: 湖南卫视, url: http://222.214.208.34:59901/tsfile/live/0128_1.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-四川-乐山, ISP: 电信, Delay: 4018 ms, Speed: 0.92 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: mp2
ID: 7646114193354269595, Name: 湖南卫视, url: http://38.75.136.137:98/gslb/dsdqbv/hnwshd.m3u8?auth=test20251009, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 660 ms, Speed: 4.99 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -4451497043481460010, Name: 湖南卫视, url: http://120.76.248.139/live/bfgd/4200000086.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云BGP数据中心, Delay: 2529 ms, Speed: 1.92 M/s, Resolution: 1920x1080, FPS: 50.0, Video Codec: h264, Audio Codec: ac3
ID: 3570461448960735944, Name: 湖南卫视, url: http://183.215.134.239:19901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0, From: Subscribe, IPv Type: ipv4, Location: 中国-湖南-长沙, ISP: 移动, Delay: 7402 ms, Speed: 0.55 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 5874023916161998264, Name: 北京卫视, url: http://38.75.136.137:98/gslb/dsdqpub/bjwshd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 406 ms, Speed: 9.61 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 2261850699114182166, Name: 北京卫视, url: http://38.75.136.137:98/gslb/dsdqbv/bjwshd.m3u8?auth=test20251009, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 658 ms, Speed: 5.04 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -5558717477123588479, Name: 北京卫视, url: http://23.237.228.134/live3/beijing.m3u8, From: Subscribe, IPv Type: ipv4, Location: 北美地区, ISP: , Delay: 535 ms, Speed: 1.84 M/s, Resolution: 1280x720, FPS: 30.0, Video Codec: h264, Audio Codec: aac
ID: -8178770866819975959, Name: 北京卫视, url: http://120.76.248.139/live/bfgd/4200000083.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云BGP数据中心, Delay: 3270 ms, Speed: 1.93 M/s, Resolution: 1920x1080, FPS: 50.0, Video Codec: h264, Audio Codec: ac3
ID: 4639638919915228239, Name: 湖北卫视, url: http://38.75.136.137:98/gslb/dsdqpub/hbwshd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 396 ms, Speed: 8.36 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 8224278714053951968, Name: 湖北卫视, url: http://120.76.248.139/live/bfgd/4200000102.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云BGP数据中心, Delay: 3822 ms, Speed: 0.97 M/s, Resolution: 1920x1080, FPS: 50.0, Video Codec: h264, Audio Codec: ac3
ID: -3418451259136259283, Name: 湖北卫视, url: http://107.150.60.122/live/hbwshd.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Delay: 408 ms, Speed: 8.08 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -2153833872049939483, Name: 黑龙江卫视, url: http://38.75.136.137:98/gslb/dsdqpub/hljwshd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 398 ms, Speed: 8.29 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 3306877052102903707, Name: 黑龙江卫视, url: http://120.76.248.139/live/bfgd/4200000095.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云BGP数据中心, Delay: 10904 ms, Speed: 0.68 M/s, Resolution: 1920x1080, FPS: 50.0, Video Codec: h264, Audio Codec: ac3
ID: 5556023928382338644, Name: 安徽卫视, url: http://38.75.136.137:98/gslb/dsdqpub/ahwshd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 448 ms, Speed: 11.52 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -4502698144485722518, Name: 安徽卫视, url: http://120.76.248.139/live/bfgd/4200000096.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云BGP数据中心, Delay: 2874 ms, Speed: 2.07 M/s, Resolution: 1920x1080, FPS: 50.0, Video Codec: h264, Audio Codec: ac3
ID: 2023759297596985131, Name: 安徽卫视, url: http://222.169.85.8:9901/tsfile/live/0130_1.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-吉林-辽源, ISP: 电信, Delay: 8024 ms, Speed: 0.57 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -6750210218630714881, Name: 重庆卫视, url: http://107.150.60.122/live/cqwshd.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Delay: 454 ms, Speed: 7.93 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 2504250869085797921, Name: 重庆卫视, url: http://38.75.136.137:98/gslb/dsdqpub/cqwshd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 394 ms, Speed: 8.40 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 595868999709456053, Name: 重庆卫视, url: http://120.76.248.139/live/bfgd/4200000107.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云BGP数据中心, Delay: 2968 ms, Speed: 2.14 M/s, Resolution: 1920x1080, FPS: 50.0, Video Codec: h264, Audio Codec: mp2
ID: 8277931425328721340, Name: 重庆卫视, url: http://111.221.137.234:44330/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0, From: Subscribe, IPv Type: ipv4, Location: 中国-广东-深圳, ISP: 天威视讯, Delay: 10452 ms, Speed: 0.30 M/s, Resolution: 1280x720, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -3016723201080479852, Name: 东方卫视, url: https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8, From: Subscribe, IPv Type: ipv4, Location: 日本, ISP: , Delay: 192 ms, Speed: 14.95 M/s, Resolution: 1280x720, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -2468029018308896724, Name: 东方卫视, url: http://23.237.228.134/live3/dongfang.m3u8, From: Subscribe, IPv Type: ipv4, Location: 北美地区, ISP: , Delay: 536 ms, Speed: 1.83 M/s, Resolution: 1280x720, FPS: 30.0, Video Codec: h264, Audio Codec: aac
ID: -5027070640800810660, Name: 重庆卫视, url: http://222.169.85.8:9901/tsfile/live/0142_1.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-吉林-辽源, ISP: 电信, Delay: 5965 ms, Speed: 0.75 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 8683039117631603840, Name: 东方卫视, url: http://38.75.136.137:98/gslb/dsdqpub/dfwshd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 412 ms, Speed: 7.96 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -2941931673832622188, Name: 东方卫视, url: http://bp-resource-dfl.bestv.cn/155/3/video.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国, ISP: 阿里云, Delay: 229 ms, Speed: 7.45 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -5491597889201958240, Name: 东方卫视, url: http://38.75.136.137:98/gslb/dsdqbv/dfwshd.m3u8?auth=test20251009, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 1014 ms, Speed: 3.48 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 4713110670803934340, Name: 东方卫视, url: http://120.76.248.139/live/bfgd/4200000093.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云BGP数据中心, Delay: 2762 ms, Speed: 1.99 M/s, Resolution: 1920x1080, FPS: 50.0, Video Codec: h264, Audio Codec: ac3
ID: 5772938832147286396, Name: 东南卫视, url: http://38.75.136.137:98/gslb/dsdqpub/dnwshd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 1994 ms, Speed: 0.24 M/s, Resolution: 1280x720, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -2575006420346083749, Name: 东南卫视, url: http://120.76.248.139/live/bfgd/4200000483.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云BGP数据中心, Delay: 2818 ms, Speed: 2.20 M/s, Resolution: 1920x1080, FPS: 50.0, Video Codec: h264, Audio Codec: ac3
ID: 1538888508619125980, Name: 东南卫视, url: http://107.150.60.122/live/dnwshd.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Delay: 426 ms, Speed: 7.61 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 6365908158073538212, Name: 甘肃卫视, url: http://38.75.136.137:98/gslb/dsdqpub/gswshd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 392 ms, Speed: 8.44 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 2818508512732434242, Name: 甘肃卫视, url: http://120.76.248.139/live/bfgd/4200000119.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云BGP数据中心, Delay: 2615 ms, Speed: 1.80 M/s, Resolution: 1920x1080, FPS: 50.0, Video Codec: h264, Audio Codec: ac3
ID: -4444432461365467629, Name: 广西卫视, url: http://107.150.60.122/live/gxwshd.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Delay: 400 ms, Speed: 8.24 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -4342152349837150676, Name: 广西卫视, url: http://154.219.125.138:5050/ysp?id=2024060703&pid=600002509&q=fhd, From: Subscribe, IPv Type: ipv4, Location: 中国-香港, ISP: LARUS, Delay: 128 ms, Speed: 8.71 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -8877962944489950119, Name: 广西卫视, url: http://38.75.136.137:98/gslb/dsdqpub/gxwshd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 398 ms, Speed: 8.30 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -6271049162475372312, Name: 贵州卫视, url: http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 398 ms, Speed: 8.32 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -2413581783880645970, Name: 贵州卫视, url: http://222.214.208.34:59901/tsfile/live/0120_1.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-四川-乐山, ISP: 电信, Delay: 4599 ms, Speed: 0.92 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: mp2
ID: 8947993602960420886, Name: 贵州卫视, url: http://120.76.248.139/live/bfgd/4200000101.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-浙江-杭州, ISP: 阿里云BGP数据中心, Delay: 2571 ms, Speed: 2.04 M/s, Resolution: 1920x1080, FPS: 50.0, Video Codec: h264, Audio Codec: ac3
ID: -8045660417625561019, Name: 海南卫视, url: http://39.152.103.17:8089/tsfile/live/1046_1.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-辽宁-阜新, ISP: 移动, Delay: 3497 ms, Speed: 1.09 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 3826188334906463922, Name: 河南卫视, url: http://38.75.136.137:98/gslb/dsdqpub/hawshd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 395 ms, Speed: 8.36 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -1233778513108069465, Name: 河南卫视, url: http://1.94.31.214/php/hntv.php?id=hnws, From: Subscribe, IPv Type: ipv4, Location: 中国-上海-上海, ISP: 华为云, Delay: 153 ms, Speed: 6.59 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 8207656333133064843, Name: 河南卫视, url: http://154.219.125.138:5050/ysp?id=2029797303&pid=600002525&q=fhd, From: Subscribe, IPv Type: ipv4, Location: 中国-香港, ISP: LARUS, Delay: 130 ms, Speed: 8.77 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -123495649430989036, Name: 吉林卫视, url: http://38.75.136.137:98/gslb/dsdqpub/jlwshd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 391 ms, Speed: 7.90 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 1641525683277557817, Name: 江苏卫视, url: http://23.237.228.134/live3/jiangsu.m3u8, From: Subscribe, IPv Type: ipv4, Location: 北美地区, ISP: , Delay: 536 ms, Speed: 1.83 M/s, Resolution: 1280x720, FPS: 30.0, Video Codec: h264, Audio Codec: aac
ID: -3349840202130946235, Name: 江苏卫视, url: http://69.30.246.194/live/jsws.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: WholeSale互联网股份有限公司, Delay: 1187 ms, Speed: 2.07 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -3573707754873461424, Name: 江苏卫视, url: http://107.150.60.122/live/jswshd.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Delay: 402 ms, Speed: 8.96 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 3119636061555579323, Name: 江苏卫视, url: http://222.214.208.34:59901/tsfile/live/0127_1.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-四川-乐山, ISP: 电信, Delay: 7042 ms, Speed: 0.68 M/s, Resolution: 1920x1080, FPS: 50.0, Video Codec: h264, Audio Codec: mp2
ID: 1133709507013128716, Name: 江西卫视, url: http://222.214.208.34:59901/tsfile/live/0138_1.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-四川-乐山, ISP: 电信, Delay: 3767 ms, Speed: 1.02 M/s, Resolution: 1920x1080, FPS: 50.0, Video Codec: h264, Audio Codec: mp2
